,Name,name,typee,sector,country,joinnned_on
0,,GS1 Canada,Business Association Local,Not Applicable,Canada,2023-03-17
1,,BRP,Company,Automobiles & Parts,Canada,2023-03-17
2,,Axtria,Company,Pharmaceuticals & Biotechnology,United States of America,2023-03-17
3,,Rimes,Company,Software & Computer Services,United States of America,2023-03-17
4,,Bergen Shippers,Company,Industrial Support Services,United States of America,2023-03-17
5,,Common Thread,Small or Medium-sized Enterprise,Diversified,United States of America,2023-03-17
6,,CFJ Manufacturing Inc,Small or Medium-sized Enterprise,Retailers,United States of America,2023-03-17
7,,RSM US LLP,Company,Finance and credit services,United States of America,2023-03-17
8,,"EVOTEK, Inc.",Small or Medium-sized Enterprise,Software & Computer Services,United States of America,2023-03-17
9,,HALO Branded Solutions,Company,Personal Goods,United States of America,2023-03-17
10,,ANGULAS AGUINAGA SA,Company,Food Producers,Spain,2023-03-17
11,,Cool Company Ltd,Company,Industrial Transportation,Bermuda,2023-03-17
12,,PRIM,Company,Medical equipment and services; Health care providers,Spain,2023-03-17
13,,"Beijing Lanwen Culture Communication Co., Ltd 北京澜文文化传播有限公司",Small or Medium-sized Enterprise,Diversified,China,2023-03-15
14,,Espace Transit,Small or Medium-sized Enterprise,Industrial Transportation,Morocco,2023-03-14
15,,PANEK INVESTMENTS CO,Small or Medium-sized Enterprise,Retailers,Kenya,2023-03-14
16,,DELOITTE KENYA,Company,Diversified,Kenya,2023-03-14
17,,Isuzu East Africa Ltd,Company,Automobiles & Parts,Kenya,2023-03-14
18,,Flipside Corporation ME LLC,Small or Medium-sized Enterprise,Diversified,United Arab Emirates,2023-03-14
19,,Agile Freaks SRL,Small or Medium-sized Enterprise,Software & Computer Services,Bosnia-Herzegovina,2023-03-14
20,,Agile Freaks NGO,NGO Local,Not Applicable,Bosnia-Herzegovina,2023-03-14
21,,CGT & Associates Chartered Accountants,Small or Medium-sized Enterprise,Diversified,Lesotho,2023-03-14
22,,Fertiglobe plc,Company,Chemicals,United Arab Emirates,2023-03-14
23,,Maintenance Management Group MMG sal,Small or Medium-sized Enterprise,Diversified,Lebanon,2023-03-14
24,,MUSINGIKA TOURISM COMPANY LIMITED,Small or Medium-sized Enterprise,Travel & Leisure,Uganda,2023-03-14
25,,Karl Marbach GmbH & Co. KG,Company,General Industrials,Germany,2023-03-13
26,,d&b audiotechnik GmbH & CO KG,Company,Electronic & Electrical Equipment,Germany,2023-03-13
27,,PCC Poland Sp. z o.o.,Small or Medium-sized Enterprise,Industrial Support Services,Poland,2023-03-13
28,,ING Bank Śląski SA,Company,Banks,Poland,2023-03-13
29,,Intereko Energia sp. z o.o.,Small or Medium-sized Enterprise,Industrial Support Services,Poland,2023-03-13
30,,Formative Content,Small or Medium-sized Enterprise,Media,United Kingdom,2023-03-13
31,,"Accolade, s.r.o.",Small or Medium-sized Enterprise,Real Estate Investment & Services development,Czechia,2023-03-13
32,,Slovenská informačná a marketingová spoločnosť,Small or Medium-sized Enterprise,Diversified,Slovakia,2023-03-13
33,,LRQA Limited,Company,Diversified,United Kingdom,2023-03-13
34,,Wondernet Express Investment Group,Small or Medium-sized Enterprise,Industrial Transportation,Georgia,2023-03-13
35,,Van Ameyde UK LTD,Small or Medium-sized Enterprise,Nonlife Insurance,United Kingdom,2023-03-13
36,,Control Union Certifications Germany GmbH,Small or Medium-sized Enterprise,Diversified,Germany,2023-03-13
37,,RIFT,Small or Medium-sized Enterprise,Technology Hardware & Equipment,Netherlands,2023-03-13
38,,Azerbaijan HR Institute,Small or Medium-sized Enterprise,Industrial Support Services,Azerbaijan,2023-03-13
39,,Sewtec Automation Limited,Small or Medium-sized Enterprise,Industrial Engineering,United Kingdom,2023-03-13
40,,CNX Therapeutics Limited,Small or Medium-sized Enterprise,Pharmaceuticals & Biotechnology,United Kingdom,2023-03-13
41,,GP JOULE GmbH,Company,Alternative Energy,Germany,2023-03-13
42,,Panda Litho Ltd t/a Pandaprint,Small or Medium-sized Enterprise,Diversified,United Kingdom,2023-03-13
43,,TIP S.p.A.,Small or Medium-sized Enterprise,Investment banking and brokerage services,Italy,2023-03-13
44,,Aleph Farms,Small or Medium-sized Enterprise,Food Producers,Israel,2023-03-13
